-e	-e	Rq-y
tréfált	tréfál	Vmis3s---n
tréfált	tréfált	Afp-sn
tréfára	tréfa	Nc-ss
tréfás	tréfás	Afp-sn
tréfásan	tréfás	Afp-sw
tréfát	tréfa	Nc-sa
tréning	tréning	Nc-sn
trófea	trófea	Nc-sn
trófeacsempészet	trófeacsempészet	Nc-sn
trófeái	trófea	Nc-pn---s3
trófeák	trófea	Nc-pn
trófeát	trófea	Nc-sa
trójai	trójai	Afp-sn
trónról	trón	Nc-sh
trükkel	trükk	Nc-si
trükkfilmekben	trükkfilm	Nc-p2
trükkök	trükk	Nc-pn
trükköt	trükk	Nc-sa
trüszköl	trüszköl	Vmip3s---n
tuba	tuba	Nc-sn
tucat	tucat	Nc-sn
tucatjait	tucat	Nc-pa---s3
tucatnyi	tucatnyi	Afp-sn
tucatnyi	tucatnyi	Nc-sn
tucatszor	tucat	Mc-s6l
tud	tud	Vmip3s---n
tudakozódott	tudakozódik	Vmis3s---n
tudakozódott	tudakozódott	Afp-sn
tudat	tudat	Nc-sn
tudat	tudat	Vmip3s---n
tudata	tudat	Nc-sn---s3
tudatalatti	tudatalatti	Afp-sn
tudatalatti	tudatalatti	Nc-sn
tudatalattin	tudatalatti	Nc-sp
tudatba	tudat	Nc-sx
tudatban	tudat	Nc-s2
tudatféle	tudatféle	Afp-sn
tudathasadás	tudathasadás	Nc-sn
tudatlan	tudatlan	Afp-sn
tudatlanság	tudatlanság	Nc-sn
tudatlanságnak	tudatlanság	Nc-sd
tudatlanságot	tudatlanság	Nc-sa
tudatlanságra	tudatlanság	Nc-ss
tudatomban	tudat	Nc-s2
tudaton	tudat	Nc-sp
tudatos	tudatos	Afp-sn
tudatosan	tudatos	Afp-sw
tudatosnak	tudatos	Afp-sd
tudatosságra	tudatosság	Nc-ss
tudatosuljon	tudatosul	Vmmp3s---n
tudatosította	tudatosít	Vmis3s---y
tudatta	tudat	Vmis3s---y
tudattal	tudat	Nc-si
tudattalan	tudattalan	Afp-sn
tudattalanság	tudattalanság	Nc-sn
tudattalanságot	tudattalanság	Nc-sa
tudattól	tudat	Nc-sb
tudatukban	tudat	Nc-s2---p3
tudatunk	tudat	Nc-sn---p1
tudatunk	tudat	Vmip1p---n
tudatunkban	tudat	Nc-s2---p1
tudatunkon	tudat	Nc-sp---p1
tudatába	tudat	Nc-sx---s3
tudatában	tudat	Nc-s2---s3
tudatából	tudat	Nc-se---s3
tudatára	tudat	Nc-ss---s3
tudatát	tudat	Nc-sa---s3
tudatától	tudat	Nc-sb---s3
tudhassák	tudhat	Vmmp3p---y
tudhat	tudhat	Vmip3s---n
tudhatja	tudhat	Vmip3s---y
tudhatjuk	tudhat	Vmip1p---y
tudhatná	tudhat	Vmcp3s---y
tudhatnák	tudhat	Vmcp3p---y
tudhatod	tudhat	Vmip2s---y
tudhatom	tudhat	Vmip1s---y
tudhatta	tudhat	Vmis3s---y
tudhattok	tudhat	Vmip2p---n
tudhattunk	tudhat	Vmis1p---n
tudhatták	tudhat	Vmis3p---y
tudható	tudható	Afp-sn
tudja	tud	Vmip3s---y
tudja	tud	Vmmp3s---y
tudjak	tud	Vmmp1s---n
tudjam	tud	Vmmp1s---y
tudjanak	tud	Vmmp3p---n
tudjon	tud	Vmmp3s---n
tudjuk	tud	Vmip1p---y
tudjuk	tud	Vmmp1p---y
tudják	tud	Vmip3p---y
tudják	tud	Vmmp3p---y
tudjátok	tud	Vmip2p---y
tudjátok	tud	Vmmp2p---y
tudna	tud	Vmcp3s---n
tudnak	tud	Vmip3p---n
tudni	tud	Vmn
tudnia	tud	Vmnp3s
tudniillik	tudniillik	Ccsw
tudniuk	tud	Vmnp3p
tudnivaló	tudnivaló	Afp-sn
tudnivaló	tudnivaló	Nc-sn
tudnod	tud	Vmnp2s
tudnunk	tud	Vmnp1p
tudná	tud	Vmcp3s---y
tudnád	tud	Vmcp2s---y
tudnák	tud	Vmcp3p---y
tudnál	tud	Vmcp2s---n
tudnálak	tud	Vmcp1s---2
tudnám	tud	Vmcp1s---y
tudnának	tud	Vmcp3p---n
tudnánk	tud	Vmcp1p---n
tudnánk	tud	Vmcp1p---y
tudnátok	tud	Vmcp2p---n
tudnátok	tud	Vmcp2p---y
tudnék	tud	Vmcp1s---n
tudod	tud	Vmip2s---y
tudok	tud	Vmip1s---n
tudom	tud	Vmip1s---y
tudomány	tudomány	Nc-sn
tudománya	tudomány	Nc-sn---s3
tudományegyetem	tudományegyetem	Nc-sn
tudománynak	tudomány	Nc-sd
tudományok	tudomány	Nc-pn
tudományos	tudományos	Afp-sn
tudományosan	tudományos	Afp-sw
tudományosnak	tudományos	Afp-sd
tudományra	tudomány	Nc-ss
tudományt	tudomány	Nc-sa
tudományágban	tudományág	Nc-s2
tudomása	tudomás	Nc-sn---s3
tudomásomra	tudomás	Nc-ss---s1
tudomást	tudomás	Nc-sa
tudomásul	tudomás	Nc-sw
tudomására	tudomás	Nc-ss---s3
tudott	tud	Vmis3s---n
tudott	tudott	Afp-sn
tudsz	tud	Vmip2s---n
tudta	tud	Vmis3s---y
tudta	tudta	Nc-sn
tudtad	tud	Vmis2s---y
tudtak	tud	Vmis3p---n
tudtam	tud	Vmis1s---n
tudtam	tud	Vmis1s---y
tudtok	tud	Vmip2p---n
tudtommal	tudta	Nc-si---s1
tudtuk	tud	Vmis1p---y
tudtuk	tudta	Nc-sn---p3
tudtul	tudtul	Rg
tudtunk	tud	Vmis1p---n
tudtunk	tudta	Nc-sn---p1
tudták	tud	Vmis3p---y
tudták	tudta	Nc-pn
tudtál	tud	Vmis2s---n
tudtára	tudta	Nc-ss
tudunk	tud	Vmip1p---n
tudva	tudva	Rv
tudvalevő	tudvalevő	Afp-sn
tudván	tudván	Rg
tudálékos	tudálékos	Afp-sn
tudás	tudás	Nc-sn
tudása	tudás	Nc-sn---s3
tudásdarabka	tudásdarabka	Nc-sn
tudásnak	tudás	Nc-sd
tudásom	tudás	Nc-sn---s1
tudással	tudás	Nc-si
tudásunk	tudás	Nc-sn---p1
tudásunkat	tudás	Nc-sa---p1
tudásának	tudás	Nc-sd---s3
tudásáról	tudás	Nc-sh---s3
tudását	tudás	Nc-sa---s3
tudó	tudó	Afp-sn
tudó	tudó	Nc-sn
tudók	tudó	Afp-pn
tudók	tudó	Nc-pn
tudós	tudós	Afp-sn
tudós	tudós	Nc-sn
tudósa	tudós	Afp-sn----s3
tudósa	tudós	Nc-sn---s3
tudósai	tudós	Afp-pn----s3
tudósai	tudós	Nc-pn---s3
tudósok	tudós	Afp-pn
tudósok	tudós	Nc-pn
tudósokból	tudós	Afp-pe
tudósokból	tudós	Nc-pe
tudósokra	tudós	Afp-ps
tudósokra	tudós	Nc-ps
tudóst	tudós	Afp-sa
tudóst	tudós	Nc-sa
tudóstársai	tudóstárs	Nc-pn---s3
tudósításoknál	tudósítás	Nc-p3
tudósítást	tudósítás	Nc-sa
tudósító	tudósító	Afp-sn
tudósító	tudósító	Nc-sn
tudósítója	tudósító	Afp-sn----s3
tudósítója	tudósító	Nc-sn---s3
tudósítójának	tudósító	Afp-sd----s3
tudósítójának	tudósító	Nc-sd---s3
tudósítók	tudósító	Afp-pn
tudósítók	tudósító	Nc-pn
tudósítónk	tudósító	Afp-sn----p1
tudósítónk	tudósító	Nc-sn---p1
tulajdon	tulajdon	Afp-sn
tulajdon	tulajdon	Nc-sn
tulajdonba	tulajdon	Afp-sx
tulajdonba	tulajdon	Nc-sx
tulajdonban	tulajdon	Afp-s2
tulajdonban	tulajdon	Nc-s2
tulajdonformák	tulajdonforma	Nc-pn
tulajdonformák	tulajdonformá	Afp-pn
tulajdonhoz	tulajdon	Afp-st
tulajdonhoz	tulajdon	Nc-st
tulajdoni	tulajdoni	Afp-sn
tulajdonjoga	tulajdonjog	Nc-sn---s3
tulajdonjogát	tulajdonjog	Nc-sa---s3
tulajdonképp	tulajdon	Afp-sf
tulajdonképp	tulajdon	Rg
tulajdonképpen	tulajdon	Afp-sf
tulajdonképpen	tulajdon	Rg
tulajdonképpen	tulajdonképpen	Rg
tulajdonnal	tulajdon	Afp-si
tulajdonnal	tulajdon	Nc-si
tulajdonok	tulajdon	Afp-pn
tulajdonok	tulajdon	Nc-pn
tulajdonokat	tulajdon	Afp-pa
tulajdonokat	tulajdon	Nc-pa
tulajdonos	tulajdonos	Afp-sn
tulajdonos	tulajdonos	Nc-sn
tulajdonosa	tulajdonos	Afp-sn----s3
tulajdonosa	tulajdonos	Nc-sn---s3
tulajdonosai	tulajdonos	Afp-pn----s3
tulajdonosai	tulajdonos	Nc-pn---s3
tulajdonosaik	tulajdonos	Afp-pn----p3
tulajdonosaik	tulajdonos	Nc-pn---p3
tulajdonosaira	tulajdonos	Afp-ps----s3
tulajdonosaira	tulajdonos	Nc-ps---s3
tulajdonosakkal	tulajdonos	Afp-pi
tulajdonosaként	tulajdonos	Afp-sf----s3
tulajdonosaként	tulajdonos	Rg
tulajdonoshoz	tulajdonos	Afp-st
tulajdonoshoz	tulajdonos	Nc-st
tulajdonosi	tulajdonosi	Afp-sn
tulajdonosként	tulajdonos	Afp-sf
tulajdonosként	tulajdonos	Rg
tulajdonosnál	tulajdonos	Afp-s3
tulajdonosnál	tulajdonos	Nc-s3
tulajdonosok	tulajdonos	Afp-pn
tulajdonosok	tulajdonos	Nc-pn
tulajdonosokat	tulajdonos	Afp-pa
tulajdonosokat	tulajdonos	Nc-pa
tulajdonosoknak	tulajdonos	Afp-pd
tulajdonosoknak	tulajdonos	Nc-pd
tulajdonost	tulajdonos	Afp-sa
tulajdonost	tulajdonos	Nc-sa
tulajdonosának	tulajdonos	Afp-sd----s3
tulajdonosának	tulajdonos	Nc-sd---s3
tulajdonosát	tulajdonos	Afp-sa----s3
tulajdonosát	tulajdonos	Nc-sa---s3
tulajdonosával	tulajdonos	Afp-si----s3
tulajdonosával	tulajdonos	Nc-si---s3
tulajdonra	tulajdon	Afp-ss
tulajdonra	tulajdon	Nc-ss
tulajdonrésszel	tulajdonrész	Nc-si
tulajdonrész	tulajdonrész	Nc-sn
tulajdonrészeket	tulajdonrész	Nc-pa
tulajdonrészhez	tulajdonrész	Nc-st
tulajdonrészért	tulajdonrész	Nc-sc
tulajdonrészétől	tulajdonrész	Nc-sb-----s
tulajdonrészétől	tulajdonrész	Nc-sb---s3
tulajdonságai	tulajdonság	Nc-pn---s3
tulajdonságokat	tulajdonság	Nc-pa
tulajdonságára	tulajdonság	Nc-ss---s3
tulajdonságát	tulajdonság	Nc-sa---s3
tulajdont	tulajdon	Afp-sa
tulajdont	tulajdon	Nc-sa
tulajdonukban	tulajdon	Afp-s2----p3
tulajdonukban	tulajdon	Nc-s2---p3
tulajdonviszonyának	tulajdonviszony	Nc-sd---s3
tulajdonába	tulajdon	Afp-sx----s3
tulajdonába	tulajdon	Nc-sx---s3
tulajdonában	tulajdon	Afp-s2----s3
tulajdonában	tulajdon	Nc-s2---s3
tulajdonának	tulajdon	Afp-sd----s3
tulajdonának	tulajdon	Nc-sd---s3
tulajdonát	tulajdon	Afp-sa----s3
tulajdonát	tulajdon	Nc-sa---s3
tulajdonítanak	tulajdonít	Vmip3p---n
tulajdonítani	tulajdonít	Vmn
tulajdonított	tulajdonít	Vmis3s---n
tulajdonított	tulajdonított	Afp-sn
tulajdonú	tulajdonú	Afp-sn
tulkot	tulok	Nc-sa
tumultuózus	tumultuózus	Afp-sn
tunya	tunya	Afp-sn
turbulens	turbulens	Afp-sn
turistanap	turistanap	Nc-sn
turistaszezon	turistaszezon	Nc-sn
turisták	turista	Nc-pn
turistáknak	turista	Nc-pd
turisztikai	turisztikai	Afp-sn
turisztikai	turisztikai	Nc-sn
turizmus	turizmus	Nc-sn
turizmusból	turizmus	Nc-se
turizmust	turizmus	Nc-sa
turnusba	turnus	Nc-sx
turnézik	turnéz	Vmip3s---n
tusa	tus	Nc-sn---s3
tusa	tusa	Nc-sn
tusakodás	tusakodás	Nc-sn
tusakodók	tusakodó	Afp-pn
tussal	tus	Nc-si
tuszkolt	tuszkol	Vmis3s---n
tuszkolt	tuszkolt	Afp-sn
tuszkolunk	tuszkol	Vmip1p---n
tutajon	tutaj	Nc-sp
tv	tv	Nc-sn
tv-ben	tv	Nc-s2
tv-operatőrt	tv-operatőr	Nc-sa
tyúk	tyúk	Nc-sn
tyúkfejet	tyúkfej	Nc-sa
tyúkjai	tyúk	Nc-pn---s3
tyúkot	tyúk	Nc-sa
tyúktól	tyúk	Nc-sb
tyúkólban	tyúkól	Nc-s2
tyű	tyű	Io
tábla	tábla	Nc-sn
táblabírákat	táblabíró	Nc-pa
táblatörvény	táblatörvény	Nc-sn
táblába	tábla	Nc-sx
táblából	tábla	Nc-se
táblácskák	táblácska	Nc-pn
táblácskák	táblácská	Nc-pn
táblák	tábla	Nc-pn
táblákat	tábla	Nc-pa
táblákon	tábla	Nc-pp
táblán	tábla	Nc-sp
táblának	tábla	Nc-sd
táblára	tábla	Nc-ss
tábláról	tábla	Nc-sh
táblát	tábla	Nc-sa
táblázattal	táblázat	Nc-si
tábor	tábor	Nc-sn
táborba	tábor	Nc-sx
táborban	tábor	Nc-s2
táborból	tábor	Nc-se
táborhelyet	táborhely	Nc-sa
tábori	tábori	Afp-sn
tábornok	tábornok	Nc-sn
tábornoknak	tábornok	Nc-sd
táborokban	tábor	Nc-p2
táborozott	táboroz	Vmis3s---n
táborozott	táborozik	Vmis3s---n
táborozott	táborozott	Afp-sn
táborozások	táborozás	Nc-pn
táborra	tábor	Nc-ss
tábort	tábor	Nc-sa
tábortüzet	tábortűz	Nc-sa
táborát	tábor	Nc-sa---s3
táborával	tábor	Nc-si---s3
tág	tág	Afp-sn
tágabb	tág	Afc-sn
tágas	tágas	Afp-sn
tágassága	tágasság	Nc-sn---s3
tágasságáért	tágasság	Nc-sc---s3
tágra	tág	Afp-ss
tágult	tágul	Vmis3s---n
tágult	tágult	Afp-sn
tágultak	tágul	Vmis3p---n
tágultak	tágult	Afp-pn
táguló	táguló	Afp-sn
tágított	tágít	Vmis3s---n
tágított	tágított	Afp-sn
táj	táj	Nc-sn
tájak	táj	Nc-pn
tájat	táj	Nc-sa
tájba	táj	Nc-sx
tájban	táj	Nc-s2
tájban	tájban	Rg
tájegységére	tájegység	Nc-ss-----s
tájegységére	tájegység	Nc-ss---s3
tájképek	tájkép	Nc-pn
tájolású	tájolású	Afp-sn
tájt	tájt	Rg
táján	táj	Nc-sp---s3
táján	táján	Nc-sn
tájáról	táj	Nc-sh---s3
tájékozatlansága	tájékozatlanság	Nc-sn---s3
tájékozatlanságát	tájékozatlanság	Nc-sa---s3
tájékozatta	tájékozat	Vmis3s---y
tájékozott	tájékoz	Vmis3s---n
tájékozott	tájékozott	Afp-sn
tájékozottak	tájékozott	Afp-pn
tájékozottsággal	tájékozottság	Nc-si
tájékoztatják	tájékoztat	Vmip3p---y
tájékoztatnak	tájékoztat	Vmip3p---n
tájékoztatta	tájékoztat	Vmis3s---y
tájékoztatás	tájékoztatás	Nc-sn
tájékoztatása	tájékoztatás	Nc-sn---s3
tájékoztatások	tájékoztatás	Nc-pn
tájékoztatást	tájékoztatás	Nc-sa
tájékoztató	tájékoztató	Afp-sn
tájékoztató	tájékoztató	Nc-sn
tájékoztatója	tájékoztató	Afp-sn----s3
tájékoztatója	tájékoztató	Nc-sn---s3
tájékoztatóján	tájékoztató	Afp-sp----s3
tájékoztatóján	tájékoztató	Nc-sp---s3
tájékoztatón	tájékoztató	Afp-sp
tájékoztatón	tájékoztató	Afp-sw
tájékoztatón	tájékoztató	Nc-sp
tájékoztatót	tájékoztató	Afp-sa
tájékoztatót	tájékoztató	Nc-sa
tájékozódhassam	tájékozódhat	Vmmp1s---y
tájékozódjanak	tájékozódik	Vmmp3p---n
tájékozódni	tájékozódik	Vmn
tájékozódniuk	tájékozódik	Vmnp3p
tájékozódtam	tájékozódik	Vmis1s---n
tájékozódtam	tájékozódik	Vmis1s---y
tájékozódásra	tájékozódás	Nc-ss
tál	tál	Nc-sn
tálacskák	tálacská	Nc-pn
tálain	tál	Nc-pp---s3
tálalja	tálal	Vmip3s---y
tálalja	tálal	Vmmp3s---y
tálalja	tálalj	Nc-sn---s3
tálalnak	tálal	Vmip3p---n
tálalt	tálal	Vmis3s---n
tálalt	tálalt	Afp-sn
tálalt	tálalt	Nc-sn
tálca	tálca	Nc-sn
tálcaoszlopról	tálcaoszlop	Nc-sh
tálcáikat	tálca	Nc-pa---p3
tálcája	tálca	Nc-sn---s3
tálcájához	tálca	Nc-st---s3
tálcájáról	tálca	Nc-sh---s3
tálcáját	tálca	Nc-sa---s3
tálcák	tálca	Nc-pn
tálcával	tálca	Nc-si
tálkáját	tálka	Nc-sa---s3
tálkákat	tálka	Nc-pa
támad	támad	Vmip3s---n
támadhatatlan	támadhatatlan	Afp-sn
támadhatnának	támadhat	Vmcp3p---n
támadhatókká	támadható	Afp-py
támadja	támad	Vmip3s---y
támadja	támad	Vmmp3s---y
támadjon	támad	Vmmp3s---n
támadják	támad	Vmip3p---y
támadják	támad	Vmmp3p---y
támadni	támad	Vmn
támadt	támad	Vmis3s---n
támadt	támadt	Afp-sn
támadtak	támad	Vmis3p---n
támadtak	támadt	Afp-pn
támadták	támad	Vmis3p---y
támadás	támadás	Nc-sn
támadása	támadás	Nc-sn---s3
támadásai	támadás	Nc-pn---s3
támadásba	támadás	Nc-sx
támadási	támadási	Afp-sn
támadásnak	támadás	Nc-sd
támadásokat	támadás	Nc-pa
támadásokhoz	támadás	Nc-pt
támadásra	támadás	Nc-ss
támadásról	támadás	Nc-sh
támadást	támadás	Nc-sa
támadásából	támadás	Nc-se---s3
támadó	támadó	Afp-sn
támadó	támadó	Nc-sn
támadók	támadó	Afp-pn
támadók	támadó	Nc-pn
támadólag	támadólag	Rg
támaszkodhassanak	támaszkodhat	Vmmp3p---n
támaszkodni	támaszkodik	Vmn
támaszkodott	támaszkodik	Vmis3s---n
támaszkodott	támaszkodott	Afp-sn
támaszkodva	támaszkodva	Rv
támaszkodó	támaszkodó	Afp-sn
támaszkodó	támaszkodó	Nc-sn
támaszpontot	támaszpont	Nc-sa
támasztaná	támaszt	Vmcp3s---y
támaszthatnak	támaszthat	Vmip3p---n
támaszthatta	támaszthat	Vmis3s---y
támasztja	támaszt	Vmip3s---y
támasztott	támaszt	Vmis3s---n
támasztott	támasztott	Afp-sn
támasztotta	támaszt	Vmis3s---y
támasztották	támaszt	Vmis3p---y
támasztva	támasztva	Rv
támlájára	támla	Nc-ss---s3
támogat	támogat	Vmip3s---n
támogatandó	támogatandó	Afp-sn
támogatható	támogatható	Afp-sn
támogatja	támogat	Vmip3s---y
támogatják	támogat	Vmip3p---y
támogatni	támogat	Vmn
támogatniuk	támogat	Vmnp3p
támogatnák	támogat	Vmcp3p---y
támogatott	támogat	Vmis3s---n
támogatott	támogatott	Afp-sn
támogatottak	támogatott	Afp-pn
támogatottjai	támogatott	Afp-pn----s3
támogatottsága	támogatottság	Nc-sn---s3
támogatottságú	támogatottságú	Afp-sn
támogatta	támogat	Vmis3s---y
támogattak	támogat	Vmis3p---n
támogattuk	támogat	Vmis1p---y
támogatták	támogat	Vmis3p---y
támogatva	támogatva	Rv
támogatás	támogatás	Nc-sn
támogatása	támogatás	Nc-sn---s3
támogatásból	támogatás	Nc-se
támogatáscsökkentést	támogatáscsökkentés	Nc-sa
támogatási	támogatási	Afp-sn
támogatásnak	támogatás	Nc-sd
támogatások	támogatás	Nc-pn
támogatásokat	támogatás	Nc-pa
támogatásokból	támogatás	Nc-pe
támogatást	támogatás	Nc-sa
támogatásában	támogatás	Nc-s2---s3
támogatásának	támogatás	Nc-sd---s3
támogatására	támogatás	Nc-ss---s3
támogatását	támogatás	Nc-sa---s3
támogatásával	támogatás	Nc-si---s3
támogató	támogató	Afp-sn
támogató	támogató	Nc-sn
támogatója	támogató	Afp-sn----s3
támogatója	támogató	Nc-sn---s3
támpontot	támpont	Nc-sa
tán	tán	Rg
tánc	tánc	Nc-sn
táncba	tánc	Nc-sx
táncféléhez	táncféle	Nc-st
táncnál	tánc	Nc-s3
táncoljon	táncol	Vmmp3s---n
táncolni	táncol	Vmn
táncosa	táncos	Afp-sn----s3
táncosa	táncos	Nc-sn---s3
táncot	tánc	Nc-sa
táncra	tánc	Nc-ss
táncszínházi	táncszínházi	Afp-sn
tántorogva	tántorogva	Rv
tántoríthatja	tántoríthat	Vmip3s---y
tántorította	tántorít	Vmis3s---y
tántorították	tántorít	Vmis3p---y
tányér	tányér	Nc-sn
tányérján	tányér	Nc-sp---s3
tányérjáról	tányér	Nc-sh---s3
tányérnyalói	tányérnyaló	Afp-pn----s3
tányérnyalói	tányérnyaló	Nc-pn---s3
tányérnyalói	tányérnyalói	Afp-sn
tányéromba	tányér	Nc-sx
tányérral	tányér	Nc-si
tányért	tányér	Nc-sa
táplál	táplál	Vmip3s---n
táplálhatnának	táplálhat	Vmcp3p---n
táplálkozni	táplálkozik	Vmn
táplálkozott	táplálkozik	Vmis3s---n
táplálkozott	táplálkozott	Afp-sn
táplálkozás	táplálkozás	Nc-sn
táplálkozásának	táplálkozás	Nc-sd---s3
táplálni	táplál	Vmn
táplált	táplál	Vmis3s---n
táplált	táplált	Afp-sn
táplálták	táplál	Vmis3p---y
táplálék	táplálék	Nc-sn
tápláléka	táplálék	Nc-sn---s3
táplálékom	táplálék	Nc-sn---s1
táplálékot	táplálék	Nc-sa
tápászkodott	tápászkodik	Vmis3s---n
tápászkodott	tápászkodott	Afp-sn
tápászkodásnak	tápászkodás	Nc-sd
tárca	tárca	Nc-sn
tárcaközi	tárcaközi	Afp-sn
tárcsázhatott	tárcsázhat	Vmis3s---n
tárcsázta	tárcsáz	Vmis3s---y
tárcája	tárca	Nc-sn---s3
tárcámban	tárca	Nc-s2
tárcánál	tárca	Nc-s3
tárggyal	tárgy	Nc-si
tárgy	tárgy	Nc-sn
tárgya	tárgy	Nc-sn---s3
tárgyai	tárgy	Nc-pn---s3
tárgyait	tárgy	Nc-pa---s3
tárgyak	tárgy	Nc-pn
tárgyakat	tárgy	Nc-pa
tárgyakban	tárgy	Nc-p2
tárgyakból	tárgy	Nc-pe
tárgyaknak	tárgy	Nc-pd
tárgyakra	tárgy	Nc-ps
tárgyal	tárgyal	Vmip3s---n
tárgyalgató	tárgyalgató	Afp-sn
tárgyalja	tárgyal	Vmip3s---y
tárgyalja	tárgyal	Vmmp3s---y
tárgyalja	tárgyalj	Nc-sn---s3
tárgyaljanak	tárgyal	Vmmp3p---n
tárgyaljon	tárgyal	Vmmp3s---n
tárgyaljon	tárgyalj	Nc-sp
tárgyaljuk	tárgyal	Vmip1p---y
tárgyaljuk	tárgyal	Vmmp1p---y
tárgyaljuk	tárgyalj	Nc-sn---p3
tárgyalják	tárgyal	Vmip3p---y
tárgyalják	tárgyal	Vmmp3p---y
tárgyalnak	tárgyal	Vmip3p---n
tárgyalni	tárgyal	Vmn
tárgyalnia	tárgyal	Vmnp3s
tárgyalnának	tárgyal	Vmcp3p---n
tárgyalt	tárgyal	Vmis3s---n
tárgyalt	tárgyalt	Afp-sn
tárgyalt	tárgyalt	Nc-sn
tárgyalta	tárgyal	Vmis3s---y
tárgyaltak	tárgyal	Vmis3p---n
tárgyaltak	tárgyalt	Afp-pn
tárgyaltam	tárgyal	Vmis1s---n
tárgyaltam	tárgyal	Vmis1s---y
tárgyaltam	tárgyalt	Afp-sn----s1
tárgyalás	tárgyalás	Nc-sn
tárgyalása	tárgyalás	Nc-sn---s3
tárgyalásairól	tárgyalás	Nc-ph---s3
tárgyalásait	tárgyalás	Nc-pa---s3
tárgyalások	tárgyalás	Nc-pn
tárgyalásokat	tárgyalás	Nc-pa
tárgyalásokba	tárgyalás	Nc-px
tárgyalásokkal	tárgyalás	Nc-pi
tárgyalásokon	tárgyalás	Nc-pp
tárgyalásokra	tárgyalás	Nc-ps
tárgyalásoktól	tárgyalás	Nc-pb
tárgyaláson	tárgyalás	Nc-sp
tárgyalásra	tárgyalás	Nc-ss
tárgyalássorozat	tárgyalássorozat	Nc-sn
tárgyalást	tárgyalás	Nc-sa
tárgyalásuk	tárgyalás	Nc-sn---p3
tárgyalásának	tárgyalás	Nc-sd---s3
tárgyalóasztal	tárgyalóasztal	Nc-sn
tárgyalódelegáció	tárgyalódelegáció	Nc-sn
tárgyalók	tárgyaló	Afp-pn
tárgyalók	tárgyaló	Nc-pn
tárgyalópartnerei	tárgyalópartner	Nc-pn---s3
tárgyalópartnereinkét	tárgyalópartner	Nc-pa---p1s
tárgyalópartnerénél	tárgyalópartner	Nc-s3-----s
tárgyalópartnerénél	tárgyalópartner	Nc-s3---s3
tárgyalóteremben	tárgyalóterem	Nc-s2
tárgyalóteremben	tárgyalótér	Nc-s2
tárgyalótermek	tárgyalóterem	Nc-pn
tárgyat	tárgy	Nc-sa
tárgyban	tárgy	Nc-s2
tárgyból	tárgy	Nc-se
tárgyi	tárgyi	Afp-sn
tárgyilagosabban	tárgyilagos	Afc-s2
tárgyilagosabban	tárgyilagos	Afc-sw
tárgyilagosan	tárgyilagos	Afp-sw
tárgyilagosság	tárgyilagosság	Nc-sn
tárgykörét	tárgykör	Nc-sa-----s
tárgykörét	tárgykör	Nc-sa---s3
tárgykörét	tárgykörét	Nc-sn
tárgykörözés	tárgykörözés	Nc-sn
tárgynak	tárgy	Nc-sd
tárgynál	tárgy	Nc-s3
tárgyra	tárgy	Nc-ss
tárgyról	tárgy	Nc-sh
tárgytól	tárgy	Nc-sb
tárgyuk	tárgy	Nc-sn---p3
tárgyukat	tárgy	Nc-sa---p3
tárgyával	tárgy	Nc-si---s3
tárgyává	tárgy	Nc-sy---s3
tárja	tár	Nc-sn---s3
tárja	tár	Vmip3s---y
tárja	tár	Vmmp3s---y
tárlat	tárlat	Nc-sn
tárlata	tárlat	Nc-sn---s3
tárlatból	tárlat	Nc-se
tárlati	tárlati	Afp-sn
tárlatlátogató	tárlatlátogató	Afp-sn
tárlatlátogató	tárlatlátogató	Nc-sn
tárlatodat	tárlat	Nc-sa---s2
tárlatot	tárlat	Nc-sa
tárlatról	tárlat	Nc-sh
tárlattól	tárlat	Nc-sb
tárlatuk	tárlat	Nc-sn---p3
tárlatukról	tárlat	Nc-sh---p3
tárlatán	tárlat	Nc-sp---s3
tárlatának	tárlat	Nc-sd---s3
tárlatért	tárlat	Nc-sc
tárlatért	tárlatért	Afp-sn
tárnok	tárnok	Nc-sn
tárnában	tárna	Nc-s2
tárolnak	tárol	Vmip3p---n
tárolt	tárol	Vmis3s---n
tárolt	tárolt	Afp-sn
tároltak	tárol	Vmis3p---n
tároltak	tárolt	Afp-pn
tárolták	tárol	Vmis3p---y
tároló	tároló	Afp-sn
tárolón	tároló	Afp-sp
tárolón	tároló	Afp-sw
társadalmak	társadalom	Nc-pn
társadalmat	társadalom	Nc-sa
társadalmi	társadalmi	Afp-sn
társadalmi-politikai	társadalmi-politikai	Afp-sn
társadalmunk	társadalom	Nc-sn---p1
társadalmunkban	társadalom	Nc-s2---p1
társadalom	társadalom	Nc-sn
társadalomban	társadalom	Nc-s2
társadalombiztosítás	társadalombiztosítás	Nc-sn
társadalombiztosítási	társadalombiztosítási	Afp-sn
társadalombiztosításnak	társadalombiztosítás	Nc-sd
társadalombiztosítást	társadalombiztosítás	Nc-sa
társadalombölcseleti	társadalombölcseleti	Afp-sn
társadalommal	társadalom	Nc-si
társadalomnak	társadalom	Nc-sd
társadalomról	társadalom	Nc-sh
társadalomszervezési	társadalomszervezési	Afp-sn
társadalomtudományok	társadalomtudomány	Nc-pn
társaikat	társ	Nc-pa---p3
társaiktól	társ	Nc-pb---p3
társaim	társ	Nc-pn---s1
társainak	társ	Nc-pd---s3
társaink	társ	Nc-pn---p1
